"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gadd45b",0,1.68655255146099,0.921,0.499,0,"0","Gadd45b"
"Nr4a1",1.80029448515342e-294,1.25464530474997,0.89,0.467,3.16005690978979e-290,"0","Nr4a1"
"Rgs16",9.10417494134578e-266,1.31280892449087,0.688,0.249,1.59805582745442e-261,"0","Rgs16"
"Fos",3.02033301139245e-263,1.02274573614074,0.99,0.818,5.30159053489717e-259,"0","Fos"
"Tnfaip6",6.10693752511706e-253,1.35366118544137,0.63,0.222,1.0719507437838e-248,"0","Tnfaip6"
"Id3",2.55464253595392e-233,0.838669497941423,0.999,0.955,4.48416404335992e-229,"0","Id3"
"Cebpb",5.01298921952763e-219,0.875007904663608,0.997,0.901,8.79929997703684e-215,"0","Cebpb"
"Zfp36",1.00396123257258e-218,0.890666367145629,0.98,0.743,1.76225315153465e-214,"0","Zfp36"
"Hk2",5.03244199506953e-217,0.85043307010977,0.635,0.223,8.83344543394554e-213,"0","Hk2"
"Serpine1",1.57851640961816e-216,1.13509191195891,0.667,0.259,2.77076985380276e-212,"0","Serpine1"
"Gadd45g",1.02964652203524e-215,1.20040601001701,0.92,0.63,1.80733854012846e-211,"0","Gadd45g"
"Thbs1",6.35853730222598e-208,1.36945807863778,0.835,0.494,1.11611405265973e-203,"0","Thbs1"
"Fosb",7.58098252474652e-205,0.761355170307027,0.937,0.528,1.33068986256876e-200,"0","Fosb"
"Junb",6.12993259895514e-200,0.720597108854364,0.998,0.949,1.0759870690946e-195,"0","Junb"
"Phlda1",6.13197734175259e-199,1.04146471047998,0.949,0.723,1.07634598279783e-194,"0","Phlda1"
"Jun",3.75591613117707e-190,0.694373061847242,0.996,0.866,6.59275958505511e-186,"0","Jun"
"Cebpd",6.45895792752954e-182,0.904889370054577,0.983,0.822,1.13374088501926e-177,"0","Cebpd"
"Mt1",3.37192456983908e-173,1.37891687483977,0.951,0.814,5.91873919743854e-169,"0","Mt1"
"Bhlhe40",7.03555485800797e-168,0.813576610690329,0.831,0.495,1.23495094422614e-163,"0","Bhlhe40"
"Gm26532",3.74205960549654e-159,0.653043095067441,0.571,0.215,6.56843722552807e-155,"0","Gm26532"
"Egr2",1.63533035092087e-141,0.666401605698824,0.677,0.325,2.87049536497141e-137,"0","Egr2"
"Egr1",9.85398145542017e-141,0.599201890542052,0.973,0.772,1.7296693648699e-136,"0","Egr1"
"Myc",1.02803244689627e-140,0.714214779752934,0.585,0.258,1.80450535403702e-136,"0","Myc"
"Nfkbiz",9.31172487301546e-136,0.526096289690117,0.744,0.378,1.6344870669604e-131,"0","Nfkbiz"
"Gm12840",3.33282642429994e-135,0.798034744457415,0.863,0.585,5.85011022257368e-131,"0","Gm12840"
