"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cxcl141",0.00365487919256145,0.301646192524626,0.788,0.654,1,"6","Cxcl14"
"Cd300c2",1.33995787798364e-58,0.299982128269256,0.202,0.011,2.35202806322469e-54,"6","Cd300c2"
"Fth12",5.41471676141886e-08,0.299361838979475,1,0.998,0.000950445233131852,"6","Fth1"
"Abracl1",0.000460991513724089,0.296777332699757,0.798,0.591,1,"6","Abracl"
"S100a11",0.00108437816804608,0.295154006706806,0.788,0.616,1,"6","S100a1"
"Slfn2",1.1919670068159e-07,0.295114348240749,0.303,0.123,0.00209225968706396,"6","Slfn2"
"Arhgdib",0.000897166481223662,0.295107436233411,0.828,0.713,1,"6","Arhgdib"
"Sigmar11",1.45165537118422e-06,0.291473496591981,0.697,0.446,0.0254809067303967,"6","Sigmar1"
"Igf12",0.00535898277079274,0.290997214989322,0.778,0.634,1,"6","Igf1"
"Gpr39",4.0881481707638e-05,0.290620805083191,0.424,0.248,0.71759264841417,"6","Gpr39"
"Sh3bgrl31",0.000259676908049234,0.288018482539279,0.788,0.708,1,"6","Sh3bgrl3"
"Spi1",1.2806213999235e-39,0.287283514076077,0.162,0.01,2.24787474328572e-35,"6","Spi1"
"Adamtsl21",0.000446366604438122,0.285025841866138,0.97,0.865,1,"6","Adamtsl2"
"Il13ra1",0.000249135919885738,0.281260269856139,0.636,0.478,1,"6","Il13ra1"
"Ldha1",3.04186832956159e-05,0.277719268078565,0.949,0.909,0.533939147887945,"6","Ldha"
"H2afz",0.000522408972690234,0.277144812488332,0.929,0.893,1,"6","H2afz"
"Psmc51",4.8584480574935e-05,0.274075802673561,0.818,0.662,0.852803387531834,"6","Psmc5"
"Anp32b",0.00051642517358016,0.273031251712437,0.869,0.77,1,"6","Anp32b"
"Hpgd",4.64940277201586e-11,0.272398028899859,0.182,0.043,8.16109668571944e-07,"6","Hpgd"
"Ddx21",2.80065576894875e-05,0.272381901865122,0.515,0.308,0.491599107123574,"6","Ddx21"
"Txnl1",0.00297870265954682,0.27225833889413,0.768,0.67,1,"6","Txnl1"
"Ccn52",0.00680533315650471,0.272101372654673,0.192,0.103,1,"6","Ccn5"
"Gapdh1",3.27573133269552e-05,0.271546530338302,0.98,0.931,0.574989120828045,"6","Gapdh"
"Pgam1",0.000231176483371021,0.271424659857154,0.848,0.706,1,"6","Pgam1"
"Cx3cl11",0.000331300132880301,0.268600789378564,0.717,0.552,1,"6","Cx3cl1"
"Atp5g11",2.47480817378156e-05,0.265998236282462,0.96,0.89,0.434403078743877,"6","Atp5g1"
"Ecscr1",0.000739407593170035,0.265225176519012,0.838,0.681,1,"6","Ecscr"
"Tpd52",3.03072245238762e-28,0.264188338490309,0.182,0.019,5.31982712067598e-24,"6","Tpd52"
"Slc7a22",0.00102062022491296,0.26197915192286,0.788,0.645,1,"6","Slc7a2"
"2210016F16Rik",7.54861107247435e-05,0.260948193036404,0.505,0.312,1,"6","2210016F16Rik"
"Cdh3",1.96119117148349e-06,0.260305846864137,0.242,0.1,0.0344247886330497,"6","Cdh3"
"Cox5a",0.000304538179757402,0.260024960902427,0.899,0.808,1,"6","Cox5a"
"Vdac21",9.8133466355629e-05,0.256769862380268,0.909,0.849,1,"6","Vdac2"
"Kitl1",0.00171075365251444,0.256695351364196,0.545,0.403,1,"6","Kitl"
"Wdr75",0.000138409404031228,0.256320146420173,0.394,0.226,1,"6","Wdr75"
"Ran",0.000235037386898046,0.255190455635674,0.96,0.857,1,"6","Ran"
"Mrc22",0.00082849422470009,0.255122549077772,0.828,0.701,1,"6","Mrc2"
"Col6a31",0.00331564732076561,0.253757993536337,1,0.948,1,"6","Col6a3"
"Tmem109",0.00145149140832339,0.253042828966578,0.737,0.578,1,"6","Tmem109"
"Serpina3n2",0.00233756993541332,0.251623405986423,0.818,0.675,1,"6","Serpina3n"
"Ndufb5",0.00158606910185149,0.251159813749548,0.909,0.843,1,"6","Ndufb5"
"Gatm",1.14427163089726e-30,0.250354659908962,0.172,0.016,2.00853999371396e-26,"6","Gatm"
"Vps29",0.00137223171344702,0.250278141873723,0.869,0.718,1,"6","Vps29"
"C3",1.77066215929748e-158,2.16777330084161,0.581,0.14,3.10804328821486e-154,"5","C3"
"Gpx31",6.27493240857969e-128,1.67952262099767,0.872,0.46,1.10143888567799e-123,"5","Gpx3"
"Mfap41",5.05978954757748e-166,1.65395266465721,0.97,0.7,8.88144859286275e-162,"5","Mfap4"
"Gas61",1.55315510822558e-140,1.57632231665013,0.972,0.685,2.72625316146836e-136,"5","Gas6"
"Fmo2",2.3187492194999e-150,1.5714271692377,0.78,0.286,4.07010050498817e-146,"5","Fmo2"
"Serpinf1",3.16775284847044e-164,1.47461265704515,0.673,0.181,5.56035657492016e-160,"5","Serpinf1"
"Igfbp41",7.3407472179713e-131,1.38272780200037,0.994,0.896,1.2885213591705e-126,"5","Igfbp4"
"Dpep1",1.65223289315117e-167,1.31495919451444,0.445,0.069,2.90016439734826e-163,"5","Dpep1"
"Sfrp11",5.8519185312901e-69,1.25263753740532,0.609,0.276,1.02718725979735e-64,"5","Sfrp1"
"Itm2a",1.37913120585823e-178,1.24499562542999,0.631,0.137,2.42078900564295e-174,"5","Itm2a"
"C4b1",4.34607876252438e-44,1.15791531443032,0.812,0.646,7.62867205185904e-40,"5","C4b"
"C7",3.30197409695143e-88,1.15109646764153,0.423,0.116,5.79595513237884e-84,"5","C7"
"Gsn1",2.14396144367812e-71,1.13171298801535,0.996,0.93,3.7632955220882e-67,"5","Gsn"
"Col6a51",3.64995613539459e-82,1.11477508323887,0.743,0.35,6.40676800445812e-78,"5","Col6a5"
"Fgl2",2.44574150507058e-78,1.096328667118,0.541,0.203,4.29301006385039e-74,"5","Fgl2"
"Ly6a",9.06139056584461e-52,1.06010846665175,0.297,0.087,1.5905458860227e-47,"5","Ly6a"
"Fmod",6.30154202199857e-45,0.998236544545989,0.455,0.213,1.10610967112141e-40,"5","Fmod"
"Lbp1",1.54480716422547e-86,0.978233256561839,0.569,0.213,2.71160001536496e-82,"5","Lbp"
"Cpxm21",8.30437240089591e-80,0.972643551093025,0.77,0.386,1.45766648752926e-75,"5","Cpxm2"
"Plxna4",5.12436525945087e-98,0.972416850073384,0.601,0.213,8.99479833991411e-94,"5","Plxna4"
"Pcolce2",1.06553785094923e-144,0.930049760247886,0.367,0.051,1.87033858977118e-140,"5","Pcolce2"
"Cilp",1.54684177398757e-96,0.915991640003229,0.23,0.029,2.71517136588039e-92,"5","Cilp"
"Fbln11",1.25752985621073e-64,0.909824163091373,0.946,0.748,2.2073421566067e-60,"5","Fbln1"
"Scn7a",9.08360442788304e-273,0.905262103911738,0.519,0.05,1.59444508522631e-268,"5","Scn7a"
"Nbl12",6.28305728316312e-61,0.898555916963648,0.715,0.395,1.10286504491362e-56,"5","Nbl1"
"Aebp11",1.07435715928166e-68,0.860030429896234,0.928,0.73,1.8858191216871e-64,"5","Aebp1"
"Entpd2",1.75941817444261e-126,0.857889739969712,0.415,0.079,3.08830672159911e-122,"5","Entpd2"
"Mmp3",3.63850588026619e-32,0.84315555496274,0.176,0.048,6.38666937163124e-28,"5","Mmp3"
"Vegfd",7.02097622715264e-71,0.800181389975199,0.543,0.21,1.2323919571521e-66,"5","Vegfd"
"Ar",1.08808743922366e-222,0.78246221506482,0.375,0.028,1.9099198820693e-218,"5","Ar"
