"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",1.33071140599638e-172,5.89501927698653,0.727,0.053,2.33579773094544e-168
"Mgp",1.35332093466952e-205,5.23311696668948,0.863,0.098,2.37548423662541e-201
"Ptn",1.37808463973386e-247,3.69507996618747,0.928,0.055,2.41895196812484e-243
"Timp1",8.78622481038558e-223,3.46356051584439,0.987,0.306,1.54224604096698e-218
"S100a6",2.35207867310285e-229,3.45520624018312,0.998,0.334,4.12860369489743e-225
"Serpine2",1.28855773412446e-240,3.35560201816786,0.998,0.264,2.26180539070867e-236
"Lpl",8.96397478567115e-210,3.33822591890676,0.998,0.643,1.57344649412886e-205
"Col15a1",1.62187458612854e-254,3.26045215438727,0.994,0.152,2.84687646103142e-250
"Serpina3n",1.72476138115159e-222,2.99746067572749,0.954,0.155,3.02747365233538e-218
"Ltbp2",6.08635861030036e-237,2.67713322181655,0.949,0.114,1.06833852686602e-232
"Fxyd6",6.46650149607602e-220,2.63848498705571,0.886,0.077,1.13506500760622e-215
"Lgals1",6.02269777269823e-210,2.63313559881969,0.998,0.811,1.05716414004172e-205
"Timp3",1.58000383256636e-197,2.62922379217481,0.998,0.77,2.77338072730372e-193
"Col1a1",2.27013692279527e-191,2.5850542417655,1,0.682,3.98477134058254e-187
"Crip1",6.31271482141366e-171,2.49227059360441,0.968,0.572,1.10807083260274e-166
"Htra1",1.21356276022625e-208,2.46763337551269,0.972,0.195,2.13016671302514e-204
"Sparcl1",4.87987519336402e-192,2.46157639660508,0.991,0.602,8.56564492691187e-188
"Col8a1",3.23650161436091e-186,2.35206838043175,0.949,0.288,5.6810312836877e-182
"Cd34",4.20840172131226e-225,2.29408224957421,0.922,0.111,7.3870075414194e-221
"Emp1",3.20984512108482e-212,2.27999635640483,0.979,0.25,5.63424114104019e-208
"Fbn2",1.15340528074658e-216,2.22032441184998,0.934,0.122,2.02457228929448e-212
"Eln",7.99328166301389e-129,2.17738994184252,0.879,0.337,1.40306073030883e-124
"Nkd2",4.54773535404425e-206,2.15864697480838,0.82,0.056,7.98263986695387e-202
"Fbln1",1.39264598968911e-189,2.06391587596128,0.915,0.168,2.4445115057013e-185
"Plat",6.42703423797847e-192,2.04543305501664,0.975,0.262,1.12813731979236e-187
"Ace",1.67475398316834e-212,2.00977608534391,0.875,0.097,2.93969566665539e-208
"Fzd1",2.22462198711225e-177,1.96562761392241,0.937,0.282,3.90487897397814e-173
"Cd9",2.49877348890222e-148,1.95595743193625,0.822,0.191,4.38609710507006e-144
"Plpp3",2.81394370892299e-161,1.9516832884458,0.93,0.331,4.93931539227253e-157
"Itgb5",2.78285359336628e-172,1.9063433603519,0.994,0.653,4.88474291243584e-168
"Tnc",3.35110869802038e-155,1.88294065103258,0.846,0.179,5.88220109763518e-151
"Col1a2",9.532747379325e-170,1.8721945458083,1,0.96,1.67328314749292e-165
"Ptgis",6.55015213270048e-157,1.803983206418,0.97,0.478,1.14974820385292e-152
"Aldh1a2",1.24516074798624e-158,1.79121570691627,0.806,0.132,2.18563066094025e-154
"Loxl1",8.77415518054236e-155,1.78373760923549,0.956,0.381,1.5401274588406e-150
"Nupr1",3.40633656356524e-125,1.77930280739507,0.918,0.454,5.97914257002606e-121
"Wnt11",2.36859601148762e-206,1.75514839294665,0.803,0.04,4.15759657896422e-202
"Cxcl14",3.96010236638064e-93,1.71366583093045,0.913,0.634,6.95116768370793e-89
"Slc7a2",5.18789068297493e-163,1.7086404555028,0.856,0.164,9.1063045158259e-159
"Dpt",1.24843176326536e-137,1.68178394501146,0.937,0.308,2.19137227405968e-133
"Igfbp5",6.89371093344352e-81,1.67884694185328,0.412,0.032,1.21005308014734e-76
"Col6a3",3.58784649541421e-125,1.66533919047359,0.979,0.736,6.29774695340057e-121
"Col4a5",2.25075009057395e-187,1.66504200831543,0.835,0.092,3.95074163398445e-183
"Adcy7",3.35317925807399e-204,1.64630035173458,0.835,0.07,5.88583555169728e-200
"Col5a2",1.34096861357366e-149,1.63731937837794,0.989,0.586,2.35380220740585e-145
"S100a16",8.49997982348013e-184,1.62155161130383,0.854,0.12,1.49200145841547e-179
"Mfap4",1.18904698233474e-134,1.59569527072227,0.767,0.135,2.08713416809217e-130
"Tgfbr2",1.53391981205111e-132,1.58615089094143,0.949,0.488,2.69248944609332e-128
"Nbl1",6.26617300187834e-153,1.57294175073405,0.738,0.092,1.0999013470197e-148
"Dpysl3",9.5539929065286e-155,1.56358758682323,0.867,0.216,1.67701237488296e-150
"Ppic",2.35328578546098e-151,1.55407444606666,0.987,0.669,4.13072253921966e-147
"Pla1a",2.29511161070226e-167,1.52072327925913,0.731,0.057,4.02860941026568e-163
"Col3a1",7.02003254754893e-137,1.51879531822273,1,0.991,1.23222631307126e-132
"Mef2c",5.80574254684125e-138,1.50804306085343,0.863,0.269,1.01908198924704e-133
"Rgs16",7.08082641897622e-90,1.48373392137435,0.596,0.109,1.2428974613229e-85
"Capg",1.80095251577426e-117,1.48335174084511,0.863,0.394,3.16121195093855e-113
"Ildr2",1.29318007840432e-145,1.48081106846082,0.75,0.099,2.26991899162311e-141
"Runx1",6.22914170171368e-143,1.43490358459931,0.734,0.111,1.0934012429018e-138
"Ckb",3.37252693845809e-122,1.42973322282965,0.985,0.862,5.91979653507548e-118
"Mtch1",3.99311028749108e-146,1.41381460848114,0.972,0.678,7.00910648763309e-142
"Colec12",1.26921408756108e-132,1.39295659089368,0.833,0.21,2.22785148789596e-128
"Fbn1",1.22038759335558e-112,1.36827778526069,0.951,0.555,2.14214634261705e-108
"Cpxm2",2.36202290695269e-130,1.3541255754893,0.609,0.045,4.14605880857405e-126
"Mfap2",7.63496427666412e-127,1.35226483059257,0.818,0.201,1.34016527948285e-122
"Sulf1",1.75472919615768e-124,1.32161774405201,0.693,0.115,3.08007615801557e-120
"Tubb2a",9.16782318107599e-106,1.32104542517873,0.858,0.356,1.60922800297427e-101
"Col4a2",2.72220300782848e-128,1.31745851202503,0.996,0.806,4.77828293964134e-124
"Mdk",4.58848929846455e-89,1.29997473221087,0.683,0.195,8.05417526559482e-85
"Cdh11",2.19523679987166e-141,1.26541099219537,0.62,0.038,3.85329915481473e-137
"Meox1",9.02364121341495e-134,1.26357905238224,0.605,0.044,1.58391974219073e-129
"Crispld2",4.07420027117247e-87,1.25470308170279,0.66,0.175,7.15144373598903e-83
