"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRPS31",8.16527856653184e-05,0.264630823713092,0.246,0.125,1,"10","MRPS31"
"HPCAL11",9.64554148281154e-05,0.264564780474456,0.198,0.095,1,"10","HPCAL1"
"CHD6",0.000481078721164588,0.264398453798204,0.532,0.365,1,"10","CHD6"
"PNN1",7.09297856818526e-05,0.264245058521845,0.389,0.234,1,"10","PNN"
"ANP32A",0.00778749342335213,0.264237766691638,0.206,0.127,1,"10","ANP32A"
"MMP22",0.00180503978671513,0.264232160365055,0.27,0.165,1,"10","MMP2"
"ELOVL51",3.14495291301069e-05,0.264153536815184,0.516,0.316,1,"10","ELOVL5"
"ATG4C",8.27288888449994e-07,0.263977585816277,0.246,0.104,0.0339204990042266,"10","ATG4C"
"ZBTB40",0.000323196739996584,0.263867317565105,0.238,0.129,1,"10","ZBTB40"
"PLEKHA1",0.00118549270933596,0.263637238906114,0.397,0.258,1,"10","PLEKHA1"
"ODR4",7.74585258006281e-07,0.262775474741747,0.262,0.116,0.0317595447487736,"10","ODR4"
"USP4",5.75059709358847e-05,0.262659315982516,0.294,0.158,1,"10","USP4"
"NR4A13",0.000601592454811026,0.262521416856148,0.484,0.327,1,"10","NR4A1"
"WASHC2A",0.000314145781850013,0.262376151559656,0.167,0.079,1,"10","WASHC2A"
"SMG7",0.000171156541577363,0.262134035822009,0.405,0.251,1,"10","SMG7"
"AC090825.12",7.18149840540632e-05,0.261785139850817,0.246,0.122,1,"10","AC090825.1"
"NT5C3A",0.000266478898866851,0.261622070718004,0.254,0.139,1,"10","NT5C3A"
"NBN",0.000226271357208723,0.261452393669361,0.278,0.156,1,"10","NBN"
"EXOG",0.000621355478492177,0.261393020399626,0.19,0.098,1,"10","EXOG"
"MECP21",9.71818736989723e-07,0.261319575041318,0.595,0.366,0.0398465118540526,"10","MECP2"
"CYP1B11",0.00897306770693146,0.261310207687847,0.127,0.067,1,"10","CYP1B1"
"PGK1",0.0006447101765597,0.26085227737955,0.262,0.15,1,"10","PGK1"
"SETDB2",0.000118783243956366,0.260687718654447,0.206,0.1,1,"10","SETDB2"
"RSBN1L3",6.42371663700928e-05,0.260511294866836,0.421,0.254,1,"10","RSBN1L"
"TTF2",7.51732637408038e-07,0.260363935791924,0.151,0.05,0.0308225415990044,"10","TTF2"
"ZNF564",3.76890495175382e-11,0.260362731503427,0.135,0.029,1.5453264083181e-06,"10","ZNF564"
"GAS51",0.000176705654213019,0.260286436489702,0.214,0.108,1,"10","GAS5"
"SIRT3",6.19869221761986e-05,0.260026275243813,0.119,0.044,1,"10","SIRT3"
"ARHGEF18",7.05493991175131e-07,0.259837816656255,0.198,0.077,0.0289266646261627,"10","ARHGEF18"
"DIDO1",4.90119723270245e-05,0.25946843421922,0.468,0.286,1,"10","DIDO1"
"MAP3K7",6.03323412273465e-05,0.259468096681983,0.444,0.279,1,"10","MAP3K7"
"AC020637.13",6.10740713087685e-05,0.25943055080357,0.262,0.131,1,"10","AC020637.1"
"EPG5",0.00541664808858011,0.259370988406396,0.31,0.208,1,"10","EPG5"
"SPCS3",0.000657953663205191,0.259330744433781,0.278,0.163,1,"10","SPCS3"
"UXS1",0.000576102397886548,0.259111176008875,0.151,0.071,1,"10","UXS1"
"SCFD23",6.51136629263948e-05,0.258944413576365,0.619,0.412,1,"10","SCFD2"
"ADAM172",2.06034937005629e-05,0.258878367836506,0.452,0.267,0.84478444871048,"10","ADAM17"
"TRAPPC12",0.000203879767418473,0.258518069512117,0.429,0.27,1,"10","TRAPPC12"
"CHORDC11",3.51776366014213e-07,0.258242089982612,0.325,0.153,0.0144235345593148,"10","CHORDC1"
"AC244131.2",8.8206833805963e-06,0.257859750191097,0.19,0.079,0.36166565997121,"10","AC244131.2"
"SLC12A6",0.000526916382966068,0.257827266945765,0.183,0.091,1,"10","SLC12A6"
"WDR48",1.72856700633422e-05,0.257666445674713,0.254,0.122,0.708747043937158,"10","WDR48"
"PCGF51",2.45384821228385e-06,0.25736797860525,0.603,0.366,0.100612684400062,"10","PCGF5"
"KCNQ52",7.15476627182325e-05,0.25735171193813,0.143,0.056,1,"10","KCNQ5"
"CREB1",2.56015381341473e-05,0.25649826150853,0.429,0.253,1,"10","CREB1"
"AP002989.12",5.5660249187559e-05,0.256428197869745,0.127,0.047,1,"10","AP002989.1"
"MRPL20",2.67568189316737e-05,0.25622083125798,0.175,0.074,1,"10","MRPL20"
"PSMA6",4.82684644795606e-08,0.255918054572166,0.19,0.066,0.00197910358059094,"10","PSMA6"
"DDX60",9.17235873088853e-05,0.25569801875199,0.278,0.144,1,"10","DDX60"
"TBC1D15",0.00371263746729537,0.255336402929506,0.357,0.24,1,"10","TBC1D15"
"ALG9",3.159661380094e-07,0.254988686044544,0.198,0.074,0.0129552435906614,"10","ALG9"
"POLR3B",0.00144122075091889,0.254428182177653,0.183,0.097,1,"10","POLR3B"
"FBXO211",3.18334979593555e-05,0.25429967569446,0.27,0.139,1,"10","FBXO21"
"CCN43",5.6469639706463e-06,0.254236092149246,0.254,0.115,0.23153681672444,"10","CCN4"
"CAPRIN2",9.31541880848789e-06,0.253545042742251,0.238,0.111,0.38195080198562,"10","CAPRIN2"
"KCNQ31",0.00010586548513065,0.253160462312231,0.111,0.04,1,"10","KCNQ3"
"SF12",3.59350301277445e-06,0.253133613800794,0.627,0.389,0.147340810529778,"10","SF1"
"HM13",0.000723126685031201,0.253068278930371,0.389,0.253,1,"10","HM13"
"SNHG16",2.44880998721912e-05,0.252800978372588,0.111,0.038,1,"10","SNHG16"
"ITPRID22",4.42822666017554e-08,0.252585193340608,0.341,0.15,0.00181566149520518,"10","ITPRID2"
"ZDHHC2",4.70112887659955e-05,0.252534289525122,0.19,0.085,1,"10","ZDHHC2"
"ARID5A1",6.03710506463658e-08,0.252411724253504,0.238,0.09,0.00247533381860229,"10","ARID5A"
"ANKRD13D",8.62958338205451e-05,0.25239969311225,0.183,0.084,1,"10","ANKRD13D"
"SGPL1",0.00041680820696995,0.252182858952234,0.254,0.141,1,"10","SGPL1"
