"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KLF154",1.50220703852352e-14,0.304022776842551,0.462,0.226,6.15934929935414e-10,"28","KLF15"
"WDR491",1.20861397187392e-23,0.30390262860706,0.146,0.015,4.95555900747746e-19,"28","WDR49"
"GBA3",8.15001356982546e-26,0.303623441283698,0.379,0.112,3.34166856389984e-21,"28","GBA"
"STARD139",2.72554208183959e-12,0.303328687512897,0.794,0.505,1.11752676439587e-07,"28","STARD13"
"TMEM38B4",1.30614376333006e-16,0.302559496513827,0.375,0.142,5.35545065840593e-12,"28","TMEM38B"
"AL022157.11",1.87890874045864e-19,0.302474924975854,0.206,0.035,7.70390161762851e-15,"28","AL022157.1"
"AL022151.13",1.38015539454518e-12,0.302256804284016,0.17,0.051,5.65891314871416e-08,"28","AL022151.1"
"AKR1C46",1.18168453231782e-18,0.301893383400563,0.617,0.324,4.84514291940955e-14,"28","AKR1C4"
"GNA126",3.12006093602615e-19,0.301471773555458,0.518,0.228,1.27928738498944e-14,"28","GNA12"
"ZNF385B8",1.49711556027846e-11,0.301441910918436,0.739,0.447,6.13847322025375e-07,"28","ZNF385B"
"KLHDC9",1.97775790765869e-19,0.301071065003288,0.19,0.024,8.10920297298216e-15,"28","KLHDC9"
"ADRA1B5",1.18759063757662e-10,0.300848319503691,0.447,0.259,4.86935913219166e-06,"28","ADRA1B"
"OCRL1",1.38934598176771e-14,0.300568663002115,0.451,0.23,5.69659639444396e-10,"28","OCRL"
"AC138123.15",8.0718389418499e-11,0.300558746965512,0.249,0.091,3.3096154029373e-06,"28","AC138123.1"
"PRRC2B4",9.50685187922978e-10,0.300444048464587,0.775,0.521,3.8979994075218e-05,"28","PRRC2B"
"CEP3505",4.6326833665804e-13,0.300367937450151,0.802,0.52,1.8994928339653e-08,"28","CEP350"
"ZNF7171",2.27185395425531e-10,0.300339299631382,0.328,0.151,9.31505558323762e-06,"28","ZNF717"
"RPL73",5.79827339322974e-33,0.300330724565674,0.49,0.147,2.37740805669206e-28,"28","RPL7"
"LIG31",4.68403955723187e-18,0.300265230177744,0.308,0.104,1.92054989925621e-13,"28","LIG3"
"TMEM1316",1.3667824921204e-11,0.30011228346244,0.783,0.514,5.60408157419205e-07,"28","TMEM131"
"LINC008442",4.44699761344508e-36,0.299709779045216,0.289,0.052,1.82335796146475e-31,"28","LINC00844"
"GET1",1.35278857651078e-19,0.29948086451832,0.241,0.048,5.54670372140951e-15,"28","GET1"
"C1orf433",1.17822806029838e-19,0.299332764079738,0.565,0.26,4.8309706928354e-15,"28","C1orf43"
"ERVK13-14",5.75242398396865e-20,0.299035226303617,0.316,0.095,2.35860888190683e-15,"28","ERVK13-1"
"HDLBP4",1.4633918254812e-19,0.29873657752097,0.881,0.578,6.00019916283803e-15,"28","HDLBP"
"AADACL2-AS11",5.58183050241627e-17,0.298120708484387,0.273,0.094,2.28866214260072e-12,"28","AADACL2-AS1"
"ZNF397",1.73643695646425e-15,0.297967070404589,0.348,0.151,7.1197388088947e-11,"28","ZNF397"
"AP002784.1",3.28132198504554e-25,0.297952588402016,0.15,0.021,1.34540764030837e-20,"28","AP002784.1"
"ZNF8752",3.18906931049844e-16,0.296931583237047,0.296,0.097,1.30758219869057e-11,"28","ZNF875"
"UMAD15",9.56265128518134e-16,0.296546557468137,0.739,0.448,3.92087827995005e-11,"28","UMAD1"
"D2HGDH3",1.17840641253388e-11,0.296410718209616,0.462,0.246,4.83170197267143e-07,"28","D2HGDH"
"LEPROT3",5.07629152278597e-29,0.296376418272988,0.391,0.111,2.0813810501727e-24,"28","LEPROT"
"ZNF605",1.18316665224281e-21,0.296232463926417,0.217,0.045,4.85121990752598e-17,"28","ZNF605"
"ADIPOR12",3.37789727363495e-22,0.296219866333106,0.478,0.168,1.3850054401358e-17,"28","ADIPOR1"
"WWC37",4.05621480264371e-13,0.296036857104012,0.375,0.144,1.66312919337998e-08,"28","WWC3"
"EIF4G13",2.96126274343563e-28,0.295687138413956,0.664,0.255,1.21417695006348e-23,"28","EIF4G1"
"CBWD25",2.10753857335497e-14,0.295484972639546,0.383,0.183,8.64132965847006e-10,"28","CBWD2"
"TRIM210",1.14705462971901e-08,0.295217815486064,0.447,0.232,0.000470315339277389,"28","TRIM2"
"SNX23",6.81013598546372e-14,0.294765827756833,0.522,0.25,2.79229195675983e-09,"28","SNX2"
"NGRN1",7.37350003740375e-27,0.2939753056597,0.32,0.076,3.02328248533628e-22,"28","NGRN"
"CLU6",3.10310625935895e-33,0.29395600761889,0.929,0.427,1.27233562846236e-28,"28","CLU"
"SNRNP2003",3.65968432433473e-19,0.293876047549915,0.534,0.247,1.50054376666373e-14,"28","SNRNP200"
"HTATIP22",4.40286971874381e-23,0.293798261822512,0.391,0.115,1.80526464207934e-18,"28","HTATIP2"
"SLCO1B72",1.12354136695412e-21,0.293744645916832,0.277,0.07,4.60674431278529e-17,"28","SLCO1B7"
"AZGP15",2.2291995547827e-18,0.293638371979382,0.85,0.541,9.14016401452004e-14,"28","AZGP1"
"TMEM44-AS1",1.8496102752655e-19,0.293474074330317,0.241,0.065,7.5837720506436e-15,"28","TMEM44-AS1"
"OTUD7B5",1.32774839693242e-08,0.293430647093783,0.581,0.353,0.000544403397710229,"28","OTUD7B"
"THRAP3",5.34236929040888e-12,0.293410054181774,0.763,0.484,2.19047825645345e-07,"28","THRAP3"
"FAM107B4",4.50846091802408e-14,0.293296436699456,0.739,0.44,1.84855914560823e-09,"28","FAM107B"
"PHB4",5.80651012380546e-25,0.292931357626062,0.368,0.105,2.38078528096271e-20,"28","PHB"
"FMO46",5.72903937220892e-10,0.292581159532038,0.478,0.269,2.3490207233931e-05,"28","FMO4"
"TMED74",1.09105408081615e-32,0.29258052806912,0.526,0.159,4.47353994216239e-28,"28","TMED7"
"TMEM150A",4.79714037383277e-14,0.292517698204751,0.237,0.072,1.96692349607891e-09,"28","TMEM150A"
"PPP1R3F",7.69657279693428e-29,0.292466718656735,0.257,0.042,3.15574877819899e-24,"28","PPP1R3F"
"NOTCH2NLC4",4.24302300942918e-21,0.292428514464105,0.316,0.097,1.73972429432615e-16,"28","NOTCH2NLC"
"AC106791.11",1.07464500413952e-19,0.292376889714432,0.229,0.044,4.40625944597287e-15,"28","AC106791.1"
"ART43",1.2302620678905e-11,0.292328139747084,0.502,0.287,5.04432053076461e-07,"28","ART4"
