"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyp2e11",1.04924121680907e-41,2.32752004387341,0.711,0.096,1.90615651857704e-37,"7","Cyp2e1"
"Col6a51",4.92179310000101e-34,2.01378540788485,0.789,0.147,8.94142152477184e-30,"7","Col6a5"
"Ccn51",1.06109590621938e-34,1.90715374335256,0.605,0.086,1.92769293282875e-30,"7","Ccn5"
"Igfbp32",2.45190144949655e-10,1.87420844603128,0.895,0.661,4.45436936330038e-06,"7","Igfbp3"
"Ankrd11",6.55981392310369e-08,1.79646541087505,0.263,0.061,0.00119172139541025,"7","Ankrd1"
"Prss232",4.66025035392459e-13,1.63663669350184,0.947,0.734,8.46627681797481e-09,"7","Prss23"
"S100a62",1.52694214235017e-16,1.56333255626924,1,0.837,2.77399579000756e-12,"7","S100a6"
"Apoe2",1.34111358357318e-13,1.4823676585662,1,0.991,2.43640104727739e-09,"7","Apoe"
"Ccl19",9.21881415092515e-09,1.44520547539711,0.868,0.709,0.000167478196679857,"7","Ccl19"
"Pcolce2",1.88329857475225e-152,1.43064021209365,0.526,0.013,3.42138852075241e-148,"7","Pcolce2"
"Actg21",9.03725085107348e-19,1.38130005405821,0.421,0.07,1.64179736211452e-14,"7","Actg2"
"Tgfb2",2.7348179248396e-09,1.35058551975262,0.684,0.356,4.96834372405611e-05,"7","Tgfb2"
"Crip11",1.83047157634775e-10,1.29839488217172,0.947,0.788,3.32541771275096e-06,"7","Crip1"
"Pdlim3",4.42744894109925e-24,1.29573036449958,0.579,0.103,8.04334649129501e-20,"7","Pdlim3"
"Filip1l",1.87909364072138e-10,1.26468019745087,0.947,0.847,3.41374941709854e-06,"7","Filip1l"
"Vegfd1",2.9938300911784e-12,1.24185787657976,0.711,0.299,5.43889112664379e-08,"7","Vegfd"
"Ogn",3.31583756926673e-11,1.21543768915195,0.737,0.348,6.02388211208687e-07,"7","Ogn"
"Postn2",2.25846572760588e-08,1.20617958151786,0.921,0.741,0.00041029546873416,"7","Postn"
"Ebf1",2.35417578461996e-31,1.17659014906915,0.526,0.066,4.27683114791909e-27,"7","Ebf1"
"Ntrk2",2.80629427635619e-56,1.1545632098927,0.421,0.024,5.09819481185629e-52,"7","Ntrk2"
"Col6a62",7.40067455193035e-12,1.1474971271864,0.605,0.212,1.34448054584919e-07,"7","Col6a6"
"Sfrp2",0,1.14595628566368,0.316,0.001,0,"7","Sfrp2"
"Lmcd1",6.82471303546922e-27,1.11901447380256,0.553,0.084,1.23984561715369e-22,"7","Lmcd1"
"Medag1",3.36097732591596e-06,1.09914557928999,0.342,0.122,0.0610588750799152,"7","Medag"
"Dpt4",1.94216161438142e-11,1.09816139909836,0.974,0.78,3.52832500484673e-07,"7","Dpt"
"Atf31",5.70263194244055e-06,1.09124713685339,0.868,0.685,0.103599714498318,"7","Atf3"
"Apoc1",0.0062543584866064,1.09008472261439,0.579,0.478,1,"7","Apoc1"
"Olfml2b",1.05870107855868e-15,1.08882470485596,0.711,0.239,1.92334224941755e-11,"7","Olfml2b"
"Myh111",2.45058502473559e-10,1.08757042350105,0.816,0.468,4.45197781443714e-06,"7","Myh11"
"Fbln11",8.58385524858992e-13,1.08202082106707,0.605,0.195,1.55942898301133e-08,"7","Fbln1"
"Ednrb2",2.98731985017634e-07,1.07779923582302,0.895,0.747,0.00542706397181537,"7","Ednrb"
"Gstm11",3.95694064746755e-08,1.04142361849342,0.789,0.523,0.00071885740742543,"7","Gstm1"
"Fn13",8.9469130309891e-08,1.0404330813463,1,0.866,0.00162538569033979,"7","Fn1"
"Sdc2",2.03453743086829e-12,1.01894956368444,0.974,0.72,3.69614415065843e-08,"7","Sdc2"
"Prnp1",1.11317527759865e-08,1.0033939822858,0.895,0.741,0.000202230552681347,"7","Prnp"
"Anxa13",2.99399360937471e-06,0.991683380511289,0.895,0.808,0.0543918819015103,"7","Anxa1"
"Ccn21",0.00456922984622817,0.979787948102332,0.842,0.795,1,"7","Ccn2"
"Col3a13",1.0359798876578e-10,0.962638673053906,1,0.998,1.88206466190792e-06,"7","Col3a1"
"Gsn3",8.25021379638849e-06,0.958247159154673,0.895,0.836,0.14988163403899,"7","Gsn"
"Notch31",2.70666145756359e-12,0.935120063868569,0.579,0.183,4.91719186995578e-08,"7","Notch3"
"Serpina3n2",0.00195803485220526,0.918917819816514,0.632,0.545,1,"7","Serpina3n"
"Lamb2",6.40942459819065e-05,0.917705276051554,0.553,0.36,1,"7","Lamb2"
"Acta22",7.92861685160961e-05,0.914651343730486,0.947,0.855,1,"7","Acta2"
"Plpp31",1.20612503805114e-09,0.904632996352936,0.658,0.318,2.19116735662751e-05,"7","Plpp3"
"Gnai1",2.19901960778307e-06,0.904245155111464,0.632,0.36,0.0399495892145951,"7","Gnai1"
"Cavin31",5.67287349242111e-09,0.894900013096034,0.868,0.588,0.000103059092736814,"7","Cavin3"
"Mustn12",7.73935752920034e-06,0.893325201962888,0.868,0.83,0.140600908232983,"7","Mustn1"
"Podn",1.73837674791035e-14,0.886874953002987,0.5,0.122,3.15810903792873e-10,"7","Podn"
"Cdc42ep3",4.00856534847135e-08,0.880160207688788,0.921,0.64,0.000728236066856789,"7","Cdc42ep3"
