"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Kdelr3",1.35148704424137e-158,0.974219372170007,0.853,0.317,2.45524651327329e-154
"Cpxm1",2.52642739423232e-126,0.964290951044509,0.787,0.288,4.58976064710185e-122
"Sfrp1",1.52207955910078e-135,0.952957911197505,0.377,0.011,2.76516193501839e-131
"Mtus2",6.23231826869723e-176,0.952314548647976,0.696,0.122,1.13222525987423e-171
"Ch25h",2.40576088621405e-130,0.951766136928552,0.462,0.051,4.37054580198507e-126
"Ssr4",1.83107620740095e-192,0.943795508149816,0.996,0.962,3.3265161459853e-188
"Cxcl14",2.60735892096633e-28,0.941764337367434,0.864,0.781,4.73678895171953e-24
"Pdgfrl",3.97208813736042e-142,0.941457238237852,0.736,0.201,7.21609251914267e-138
"Rpl41",2.28869837852819e-263,0.940124732859388,1,1,4.15787834427216e-259
"Gabarap",4.93210390269334e-186,0.930578863096918,0.986,0.955,8.96015316002299e-182
"Copz2",3.3111308437205e-136,0.917734891240473,0.902,0.45,6.01533140378704e-132
"Rps2",2.50379311029393e-247,0.914531220884489,0.999,1,4.54864094347098e-243
"S100a16",6.74989179004303e-189,0.91399288373528,0.564,0.04,1.22625284149712e-184
"Pmepa1",1.48723547499841e-89,0.911893231640621,0.986,0.892,2.70186068742961e-85
"Nme1",9.34250989141676e-113,0.910832661156844,0.941,0.702,1.69725377197368e-108
"Col6a1",5.33916012931339e-117,0.90577969475122,0.993,0.865,9.69965220692364e-113
"Ckap4",2.8947470752977e-127,0.903896692251405,0.949,0.669,5.25888701169333e-123
"Fbn1",3.7489882257979e-117,0.901475099491164,0.987,0.845,6.81078690980704e-113
"Fkbp10",5.41520673646778e-129,0.901205856997322,0.904,0.497,9.83780607814102e-125
"Ptgis",1.0662228598387e-102,0.894946273760083,0.908,0.545,1.93700706946897e-98
"Myof",4.87111068118139e-141,0.891966798043434,0.831,0.294,8.84934677450224e-137
"Dclk1",5.57545739308657e-180,0.891398402438204,0.547,0.042,1.01289334460204e-175
"Ppfibp1",1.01452923669768e-127,0.888282772377355,0.823,0.325,1.84309526430868e-123
"Fbln2",1.2695360662129e-193,0.878061151591258,0.533,0.023,2.30636617148898e-189
