"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fasn1",2.14003489642772e-33,0.681387942837279,0.84,0.4,4.03503579721447e-29,"18","Fasn"
"Gpd11",5.89418238405927e-65,0.678541660642973,0.772,0.254,1.11134808851438e-60,"18","Gpd1"
"Abcd31",9.33345249988611e-44,0.675637193492292,0.94,0.455,1.75982246885353e-39,"18","Abcd3"
"Ahsg1",1.02604888365008e-69,0.672746296039973,1,0.99,1.93461517012223e-65,"18","Ahsg"
"Rps27rt1",4.7440599993498e-64,0.670710413889772,0.343,0.064,8.94492512877405e-60,"18","Rps27rt"
"Cyp4f141",6.06090657678334e-67,0.670244361034592,0.813,0.266,1.1427839350525e-62,"18","Cyp4f14"
"Etnk21",1.76469532531935e-70,0.664676590334729,0.821,0.266,3.32733303588964e-66,"18","Etnk2"
"Sod11",6.92744295319475e-33,0.663635243285607,0.989,0.731,1.30616936882487e-28,"18","Sod1"
"Tceb21",8.92143396877189e-124,0.662647390200667,0.276,0.021,1.68213637481194e-119,"18","Tceb2"
"Herpud12",3.71706447488417e-49,0.660300600906076,0.929,0.426,7.00852506739409e-45,"18","Herpud1"
"Serpinc11",4.32946555590222e-36,0.657529735264077,0.996,0.716,8.16320730565363e-32,"18","Serpinc1"
"Ugt2b353",8.87062107528779e-75,0.65594447440084,0.757,0.22,1.67255560374551e-70,"18","Ugt2b35"
"Cyp2d92",5.8521594199187e-36,0.652239977300324,0.978,0.668,1.10342465862567e-31,"18","Cyp2d9"
"Hfe2",2.80903232020094e-249,0.649606580627249,0.265,0.007,5.29643043973888e-245,"18","Hfe2"
"Acss21",1.33139649869198e-72,0.645943719146183,0.578,0.144,2.51034809828373e-68,"18","Acss2"
"B2m2",8.03792364917731e-52,0.64586582911634,1,0.876,1.51555050405238e-47,"18","B2m"
"Acsm12",1.76265760269275e-56,0.645669662738826,0.843,0.311,3.32349090987717e-52,"18","Acsm1"
"C31",1.99753135912945e-36,0.641777501662546,1,0.904,3.76634537763858e-32,"18","C3"
"Ccnd1",9.6101632273677e-62,0.639621133107124,0.72,0.231,1.81199627652018e-57,"18","Ccnd1"
"C92",4.64717447129235e-31,0.635629768422483,0.981,0.604,8.76224746562173e-27,"18","C9"
"Cyp2c54",4.0136015512168e-95,0.631054414323693,0.485,0.086,7.56764572481929e-91,"18","Cyp2c54"
"Dhcr242",6.28141601791774e-36,0.627274948104249,0.985,0.628,1.18436099017839e-31,"18","Dhcr24"
"Ehhadh",2.93223016641244e-63,0.624755210928995,0.776,0.25,5.52871997877065e-59,"18","Ehhadh"
"Igkc",1.31550098369428e-55,0.624497585586755,0.34,0.069,2.48037710475556e-51,"18","Igkc"
"Slc2a22",1.17214730583461e-68,0.623855257777816,0.776,0.238,2.21008374515116e-64,"18","Slc2a2"
"Rdh72",1.95428418395898e-36,0.623382466183654,0.966,0.58,3.68480282885466e-32,"18","Rdh7"
