"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a6",8.84904410195075e-195,2.55261820108374,0.941,0.393,1.53973367373943e-190
"Eln",6.10291972691921e-130,2.3412924754352,0.785,0.252,1.06190803248394e-125
"Col1a1",3.10672319189716e-211,1.99263130875947,1,0.926,5.40569835390107e-207
"Timp1",1.13404173062443e-110,1.94068580605827,0.907,0.58,1.9732326112865e-106
"Ltbp2",1.79572967878876e-140,1.72059707556762,0.736,0.123,3.12456964109245e-136
"Mgp",8.76114744210514e-30,1.70282474363569,0.248,0.039,1.52443965492629e-25
"Acta2",1.71265913026162e-60,1.69200136038168,0.647,0.271,2.98002688665522e-56
"Col15a1",6.40555220886231e-123,1.61781739207211,0.8,0.287,1.11456608434204e-118
"Gas6",4.92435258546173e-129,1.61711783616152,0.774,0.185,8.56837349870341e-125
"Igf1",1.43140171011049e-126,1.59298296852119,0.78,0.249,2.49063897559226e-122
"Spp1",5.60169509176169e-12,1.57631240424412,0.12,0.025,9.74694945966533e-08
"Col1a2",1.5594630959411e-172,1.53251914212157,0.999,0.988,2.71346578693751e-168
"Lcn2",8.36541374415573e-39,1.48773066763298,0.359,0.086,1.4555819914831e-34
"Serpine2",7.75921347031471e-133,1.48079279232476,0.918,0.492,1.35010314383476e-128
"Ncam1",3.2366295740642e-135,1.43842373425407,0.747,0.151,5.63173545887171e-131
"Lpl",1.08650597983687e-116,1.42100339389592,0.959,0.758,1.89052040491615e-112
"Col6a3",1.40477597562526e-172,1.34079840953357,0.996,0.896,2.44431019758796e-168
"Dpt",1.66775496258374e-112,1.29433273970497,0.894,0.442,2.90189363489571e-108
"Htra1",1.58852753806582e-100,1.28193681855624,0.706,0.193,2.76403791623453e-96
"Fbn2",1.2557754352803e-83,1.21035928293284,0.557,0.096,2.18504925738773e-79
"Serpina3n",2.51960742157993e-58,1.20544695275114,0.558,0.188,4.38411691354908e-54
"Saa3",1.57647230189142e-14,1.18509879050958,0.145,0.029,2.74306180529107e-10
"Lox",3.94408997716399e-94,1.17500676255364,0.697,0.22,6.86271656026534e-90
"C3",2.02361000700176e-58,1.16914864168039,0.804,0.521,3.52108141218307e-54
"Lgals1",1.16238333419774e-128,1.16763947013414,0.991,0.941,2.02254700150407e-124
"Emp1",2.67540033059716e-115,1.15876732038307,0.902,0.518,4.65519657523906e-111
"Col5a2",1.97129045038988e-117,1.14076514019143,0.944,0.709,3.4300453836784e-113
"Ccn2",1.21091974565186e-48,1.12347294856379,0.801,0.546,2.10700035743424e-44
"Fstl1",2.90364832343477e-131,1.10822835133464,0.99,0.903,5.05234808277651e-127
"Ildr2",7.83239494505212e-81,1.09393056142014,0.538,0.087,1.36283672043907e-76
"Fmod",2.17764064915184e-67,1.08674550502208,0.482,0.084,3.7890947295242e-63
"Gpx3",9.91743076510096e-60,1.08427067088146,0.641,0.269,1.72563295312757e-55
"Cd34",1.91734420646602e-73,1.07712754228708,0.514,0.094,3.33617891925087e-69
"Igfbp4",2.50620849766733e-37,1.07187665325286,0.793,0.627,4.36080278594115e-33
"Mfap4",8.48874332999117e-59,1.0677446009323,0.413,0.055,1.47704133941846e-54
"Crip1",1.68001960390688e-56,1.05145202718233,0.909,0.771,2.92323411079797e-52
"Col3a1",1.9312855204031e-122,1.04469828876788,1,0.995,3.36043680550139e-118
"Col4a5",1.37833501455781e-82,1.04439112366437,0.548,0.094,2.39830292533058e-78
"Loxl1",1.94992856686973e-93,1.02621870305613,0.864,0.466,3.39287570635333e-89
