"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmgb3",7.88342379559955e-54,0.537708715998911,0.496,0.082,1.37171574043432e-49,"8","Hmgb3"
"H2afv",1.7886284564956e-53,1.77510813338899,0.975,0.704,3.11221351430234e-49,"8","H2afv"
"Tubb61",2.17126455637784e-53,1.42828736392198,0.882,0.351,3.77800032809744e-49,"8","Tubb6"
"Hmgb1",4.67505707107372e-53,1.26193057479439,0.992,0.955,8.13459930366827e-49,"8","Hmgb1"
"Cks21",7.13915589432061e-53,1.91795704968723,0.916,0.446,1.24221312561179e-48,"8","Cks2"
"Aaas",1.41667463385084e-52,0.266372006641992,0.286,0.029,2.46501386290046e-48,"8","Aaas"
"Dnmt1",2.41525101656312e-52,0.805362345322683,0.555,0.109,4.20253676881983e-48,"8","Dnmt1"
"Wee1",1.24998791333943e-50,0.350177276966449,0.361,0.047,2.1749789692106e-46,"8","Wee1"
"H1fx",1.26019779977463e-50,1.02106355394897,0.714,0.19,2.19274417160786e-46,"8","H1fx"
"Rad18",5.02081953812306e-50,0.347298249141789,0.319,0.038,8.73622599633413e-46,"8","Rad18"
"Lsm2",1.08471761081883e-49,0.849064682128228,0.748,0.204,1.88740864282477e-45,"8","Lsm2"
"Mcm31",8.02130707085258e-49,0.533821483894478,0.42,0.067,1.39570743032835e-44,"8","Mcm3"
"Lgals12",1.28434347096694e-48,1.42498129086495,0.992,0.937,2.23475763948248e-44,"8","Lgals1"
"Ndc1",6.55389014944138e-48,0.398655578420876,0.328,0.042,1.1403768860028e-43,"8","Ndc1"
"Tubb51",8.23403869084372e-48,1.79614413503105,0.975,0.838,1.43272273220681e-43,"8","Tubb5"
"Topbp1",9.34752233591185e-48,0.629274495497193,0.538,0.108,1.62646888644866e-43,"8","Topbp1"
"Dctpp1",2.52444482182306e-47,0.920375587046889,0.681,0.18,4.39253398997212e-43,"8","Dctpp1"
"Ppia",8.93335804962656e-46,0.932447911393647,1,0.994,1.55440430063502e-41,"8","Ppia"
"Cit",1.76537173267742e-45,0.467607226435056,0.462,0.081,3.07174681485871e-41,"8","Cit"
"Rfc3",3.4572850611655e-45,0.41892216431971,0.378,0.057,6.01567600642797e-41,"8","Rfc3"
"Cyp39a1",1.7913791288072e-44,0.329068562454625,0.252,0.027,3.11699968412453e-40,"8","Cyp39a1"
"Haus1",5.20565271895529e-44,0.394492719523555,0.454,0.08,9.05783573098221e-40,"8","Haus1"
"Ska2",8.42769094842134e-44,0.364583905845701,0.395,0.063,1.46641822502531e-39,"8","Ska2"
"Nucks1",9.3111549186763e-44,1.30090222789893,0.95,0.605,1.62014095584968e-39,"8","Nucks1"
"Dck",1.00147991903673e-43,0.330772817934184,0.218,0.021,1.74257505912391e-39,"8","Dck"
"Ube2s",1.31507421281257e-43,1.49285757982227,0.924,0.58,2.28822913029387e-39,"8","Ube2s"
"Alyref",3.3632842524877e-43,1.06369548604789,0.924,0.389,5.8521145993286e-39,"8","Alyref"
"Rad21",4.90477805064164e-43,1.01951018117584,0.807,0.28,8.53431380811646e-39,"8","Rad21"
"Ddx39",9.08052891832952e-43,0.629049934017783,0.571,0.128,1.58001203178934e-38,"8","Ddx39"
"Cdk5rap2",2.33768902614393e-42,0.409902715790745,0.429,0.075,4.06757890549043e-38,"8","Cdk5rap2"
"Ptma",1.00613212535374e-41,0.918712366263318,1,0.996,1.75066989811551e-37,"8","Ptma"
"Map2",1.21717324247847e-41,0.324916843291232,0.319,0.044,2.11788144191253e-37,"8","Map2"
"Cdkn2d",1.29392612608915e-41,1.07705126689379,0.613,0.172,2.25143145939513e-37,"8","Cdkn2d"
"G2e3",2.27409033757761e-41,0.702140671572638,0.521,0.115,3.95691718738503e-37,"8","G2e3"
"Hirip3",4.00614586859985e-41,0.296984899848162,0.303,0.041,6.97069381136374e-37,"8","Hirip3"
"Tuba1c1",3.96208989102261e-40,0.988961511860207,0.529,0.129,6.89403641037934e-36,"8","Tuba1c"
"Tubb4b",6.99520927377902e-40,1.98719721379528,0.899,0.583,1.21716641363755e-35,"8","Tubb4b"
"Ckap41",9.42039406022288e-40,1.12486270373804,0.975,0.606,1.63914856647878e-35,"8","Ckap4"
"Dynlt1f",9.61073231080955e-40,0.349294637006926,0.403,0.07,1.67226742208086e-35,"8","Dynlt1f"
"Tex30",1.34177835129622e-39,0.344787729670885,0.345,0.054,2.33469433125542e-35,"8","Tex30"
"Pola1",4.94551125311224e-39,0.311941917179225,0.319,0.047,8.60518958041529e-35,"8","Pola1"
