"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccl21",1.80720528617544e-132,2.94444002365531,0.8,0.357,3.14453719794527e-128,"4","Ccl2"
"Cxcl101",1.70638795659971e-73,2.44843206956173,0.399,0.124,2.9691150444835e-69,"4","Cxcl10"
"Saa3",8.62523422642986e-60,2.41032817601053,0.343,0.106,1.5007907553988e-55,"4","Saa3"
"Mt2",1.1548655161736e-175,2.20775735153359,0.961,0.674,2.00946599814207e-171,"4","Mt2"
"Ccl71",2.77383430349879e-90,1.87138261457278,0.707,0.331,4.8264716880879e-86,"4","Ccl7"
"Mt1",4.44924797411984e-124,1.62446315472851,0.984,0.95,7.74169147496852e-120,"4","Mt1"
"Sdc4",1.28790567132733e-156,1.46446139373624,0.981,0.858,2.24095586810955e-152,"4","Sdc4"
"Sod2",1.01462435513261e-136,1.44102755356816,0.909,0.634,1.76544637793074e-132,"4","Sod2"
"Cxcl21",3.13929478740541e-23,1.41447951730076,0.203,0.08,5.46237293008541e-19,"4","Cxcl2"
"Timp11",9.95412547494914e-88,1.40545526044105,0.932,0.706,1.73201783264115e-83,"4","Timp1"
"Cxcl5",2.15815657660165e-66,1.3297531491579,0.298,0.077,3.75519244328687e-62,"4","Cxcl5"
"Thbs1",6.06833888517787e-69,1.2820124849276,0.938,0.747,1.05589096602095e-64,"4","Thbs1"
"Il33",2.52518825151611e-63,1.24381211565553,0.44,0.167,4.39382755763803e-59,"4","Il33"
"Lcn21",3.21798071885537e-38,1.21262126637907,0.516,0.277,5.59928645080834e-34,"4","Lcn2"
"Serpina3g1",1.41216130743236e-87,1.20917769091966,0.729,0.37,2.4571606749323e-83,"4","Serpina3g"
"Tnfaip2",4.75585297341091e-91,1.20102022967027,0.725,0.374,8.27518417373498e-87,"4","Tnfaip2"
"Cxcl141",1.02261069903994e-56,1.10595469102918,0.831,0.594,1.77934261632949e-52,"4","Cxcl14"
"Vcam1",5.86469726250754e-71,1.05763914519106,0.936,0.84,1.02045732367631e-66,"4","Vcam1"
"Ptgs2",5.53928227836098e-35,1.04224509104372,0.422,0.206,9.63835116434811e-31,"4","Ptgs2"
"Serpina3f",8.49194367918084e-120,1.03438808849695,0.428,0.094,1.47759820017747e-115,"4","Serpina3f"
"Cd44",3.74844506818197e-97,1.01023676582197,0.764,0.398,6.52229441863663e-93,"4","Cd44"
"AW1120101",4.18079750326445e-22,0.997853000820404,0.777,0.658,7.27458765568013e-18,"4","AW112010"
"Ereg",1.81310569121257e-37,0.942942142121678,0.508,0.275,3.15480390270986e-33,"4","Ereg"
"Cxcl11",8.73694565488172e-07,0.9150396430829,0.473,0.401,0.0152022854394942,"4","Cxcl1"
"Gbp2",3.15193550816719e-49,0.905346709634447,0.502,0.239,5.4843677842109e-45,"4","Gbp2"
"Pakap.1",1.84276323679208e-64,0.902022178081705,0.87,0.704,3.20640803201821e-60,"4","Pakap.1"
"Ch25h",2.21171929033484e-44,0.895128377052275,0.424,0.183,3.84839156518262e-40,"4","Ch25h"
"Rdh10",5.34783936059115e-66,0.883525788340176,0.516,0.213,9.3052404874286e-62,"4","Rdh10"
"Tnip1",1.79536019455807e-73,0.86839005648052,0.612,0.286,3.12392673853104e-69,"4","Tnip1"
"Gm12840",9.09980687185157e-73,0.833148720090065,0.967,0.828,1.58336639570217e-68,"4","Gm12840"
"Nfkb1",1.37862968064992e-55,0.822720775093323,0.676,0.404,2.39881564433087e-51,"4","Nfkb1"
