"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lfng1",2.16813388654628e-08,0.43206933836204,0.3,0.182,0.000332678463551662,"Kupffer cell","Lfng"
"Dnajc21",2.19596164292545e-08,0.393096503519465,0.144,0.066,0.000336948354490482,"Kupffer cell","Dnajc2"
"Tgfbr11",2.21686992593992e-08,0.365778638063236,0.138,0.063,0.000340156521436222,"Kupffer cell","Tgfbr1"
"Magt12",2.27493934095839e-08,0.479533408252552,0.172,0.088,0.000349066692476655,"Kupffer cell","Magt1"
"Zfhx31",2.30376581434752e-08,0.413493042270486,0.227,0.126,0.000353489826553483,"Kupffer cell","Zfhx3"
"Glg1",2.51052475682389e-08,0.415661027798323,0.18,0.092,0.000385214918687058,"Kupffer cell","Glg1"
"Ppm1h1",2.63531853468446e-08,0.34355543201045,0.112,0.047,0.000404363275961983,"Kupffer cell","Ppm1h"
"Cxcl161",2.91220799488536e-08,0.410560352468179,0.446,0.311,0.00044684919473521,"Kupffer cell","Cxcl16"
"Npc1",2.91701507529804e-08,0.373663983602081,0.131,0.059,0.000447586793153732,"Kupffer cell","Npc1"
"Agtrap1",3.58847792630085e-08,0.414503127392649,0.225,0.125,0.000550616053011602,"Kupffer cell","Agtrap"
"Dnmt3a",3.95932119364373e-08,0.414973835027164,0.167,0.084,0.000607518243952693,"Kupffer cell","Dnmt3a"
"Derl11",3.97823190228682e-08,0.411783622658334,0.274,0.165,0.000610419903086889,"Kupffer cell","Derl1"
"Fam168b",4.19302665980104e-08,0.467910271449408,0.248,0.144,0.000643378010679872,"Kupffer cell","Fam168b"
"Mef2a2",5.09890092913654e-08,0.43625055472692,0.371,0.25,0.00078237535856671,"Kupffer cell","Mef2a"
"Stard51",5.63215162609456e-08,0.40066383737846,0.151,0.074,0.000864197345507949,"Kupffer cell","Stard5"
"Arrdc31",5.85124803553493e-08,0.325086907421593,0.131,0.059,0.000897815498572479,"Kupffer cell","Arrdc3"
"Larp73",6.34394401939732e-08,0.395278770076354,0.17,0.087,0.000973414770336324,"Kupffer cell","Larp7"
"Anxa31",7.14642076608862e-08,0.448856923414633,0.24,0.14,0.00109654680234864,"Kupffer cell","Anxa3"
"Gosr1",8.58522161615881e-08,0.375831449349349,0.102,0.042,0.00131731640478341,"Kupffer cell","Gosr1"
"Morc31",8.68601961799925e-08,0.412452791393591,0.123,0.056,0.00133278285018581,"Kupffer cell","Morc3"
"Aprt4",8.77756363246078e-08,0.431019938920821,0.18,0.097,0.00134682936376478,"Kupffer cell","Aprt"
"Stard3nl2",8.81742819275467e-08,0.465406608288646,0.193,0.107,0.00135294618189628,"Kupffer cell","Stard3nl"
"Slc35f6",9.45008772406528e-08,0.332640866234576,0.115,0.05,0.00145002146038058,"Kupffer cell","Slc35f6"
"Gng5",9.63393018924916e-08,0.352449044175114,0.77,0.713,0.00147823024823839,"Kupffer cell","Gng5"
"Acly",9.92544627413246e-08,0.484637189081225,0.258,0.158,0.00152296047630288,"Kupffer cell","Acly"
"Frrs1",9.94378077898082e-08,0.319880127813479,0.107,0.045,0.00152577372272682,"Kupffer cell","Frrs1"
"Bak11",1.06127530598566e-07,0.326845398886246,0.172,0.088,0.0016284208295044,"Kupffer cell","Bak1"
