,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
P2ry14,6.05E-69,0.914178034,0.221,0.021,9.28E-65,6,P2ry14
Dennd2a,8.61E-44,0.913682996,0.254,0.044,1.32E-39,6,Dennd2a
Chsy1,9.76E-66,0.910419113,0.312,0.045,1.50E-61,6,Chsy1
Ptger2,2.08E-100,0.904445899,0.217,0.011,3.20E-96,6,Ptger2
Ddr2,5.71E-113,0.904371798,0.267,0.016,8.76E-109,6,Ddr2
Hmgn33,1.03E-85,0.902896687,0.262,0.023,1.58E-81,6,Hmgn3
Fam46a1,6.05E-43,0.899929379,0.362,0.086,9.29E-39,6,Fam46a
Marcks2,1.21E-38,0.899558816,0.85,0.418,1.85E-34,6,Marcks
Lrrn3,3.50E-110,0.892271592,0.196,0.007,5.37E-106,6,Lrrn3
Tmem1001,2.96E-104,0.889643214,0.171,0.005,4.54E-100,6,Tmem100
Vasn1,2.70E-94,0.889545898,0.2,0.01,4.14E-90,6,Vasn
Arhgef17,1.84E-106,0.883251403,0.225,0.011,2.82E-102,6,Arhgef17
Nedd41,8.11E-34,0.882533542,0.642,0.266,1.24E-29,6,Nedd4
Lix1l2,4.16E-34,0.881781005,0.471,0.154,6.38E-30,6,Lix1l
Ktn1,2.08E-32,0.878212804,0.429,0.138,3.19E-28,6,Ktn1
Slco3a1,2.69E-34,0.877731932,0.329,0.085,4.13E-30,6,Slco3a1
Laptm4a2,1.90E-25,0.87467895,0.779,0.504,2.91E-21,6,Laptm4a
Rdx1,2.05E-33,0.872686146,0.479,0.168,3.15E-29,6,Rdx
Rgs4,3.93E-97,0.870839499,0.188,0.008,6.03E-93,6,Rgs4
Acaa21,1.26E-31,0.868782803,0.525,0.2,1.94E-27,6,Acaa2
Ccdc803,1.29E-25,0.856247019,0.412,0.147,1.99E-21,6,Ccdc80
Tmtc2,3.54E-40,0.852867696,0.288,0.06,5.43E-36,6,Tmtc2
Plscr11,1.17E-68,0.848876086,0.238,0.024,1.80E-64,6,Plscr1
Fam132a1,2.05E-83,0.848146325,0.25,0.021,3.15E-79,6,Fam132a
Robo2,9.89E-120,0.845414594,0.212,0.008,1.52E-115,6,Robo2
Nfia1,1.74E-23,0.845245182,0.521,0.226,2.67E-19,6,Nfia
Nfic1,1.41E-25,0.845233172,0.483,0.193,2.17E-21,6,Nfic
Ndrg21,8.00E-50,0.844995994,0.542,0.149,1.23E-45,6,Ndrg2
Nt5e,1.22E-97,0.843413244,0.208,0.011,1.88E-93,6,Nt5e
H6pd,6.63E-34,0.841552639,0.308,0.077,1.02E-29,6,H6pd
Smim41,1.78E-39,0.835648697,0.417,0.115,2.74E-35,6,Smim4
Gsta41,1.15E-70,0.833969491,0.242,0.024,1.77E-66,6,Gsta4
Dact1,1.44E-88,0.830017168,0.217,0.014,2.20E-84,6,Dact1
Klf91,4.45E-27,0.829086256,0.596,0.266,6.83E-23,6,Klf9
Cela14,9.17E-30,0.825253067,0.3,0.081,1.41E-25,6,Cela1
Ano11,6.35E-93,0.817923609,0.171,0.007,9.74E-89,6,Ano1
Mxra71,6.29E-35,0.817386831,0.325,0.082,9.66E-31,6,Mxra7
Dctn62,3.30E-35,0.815513714,0.367,0.101,5.06E-31,6,Dctn6
