"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cxcl12",0,1.75545798114567,0.995,0.711,0,"0","Cxcl12"
"Tgfbi",0,1.56495468143704,0.99,0.63,0,"0","Tgfbi"
"Gdf10",0,1.44646268303489,0.968,0.482,0,"0","Gdf10"
"Fbln5",0,1.39511803676285,0.896,0.378,0,"0","Fbln5"
"Adamtsl2",0,1.37613216758133,0.905,0.39,0,"0","Adamtsl2"
"Lum",0,1.33055249534923,0.999,0.762,0,"0","Lum"
"Rspo3",0,1.32859697461212,0.836,0.289,0,"0","Rspo3"
"Cygb",0,1.20936496161544,0.992,0.61,0,"0","Cygb"
"Dcn",9.98704686779561e-299,1.40168722374435,0.999,0.838,1.79567102682965e-294,"0","Dcn"
"Reln",4.60879568950992e-293,1.24595750420786,0.951,0.405,8.28661464973885e-289,"0","Reln"
"Eng",7.01860745399181e-283,1.12563000211519,0.975,0.56,1.26194562022773e-278,"0","Eng"
"Abcc9",5.42498349835535e-282,1.17085370746124,0.928,0.389,9.75412033004292e-278,"0","Abcc9"
"Gdf2",5.5471660287435e-280,1.16697206104157,0.84,0.308,9.9738045196808e-276,"0","Gdf2"
"Bgn",1.27018293722683e-274,1.08054081788499,0.999,0.835,2.28378892113385e-270,"0","Bgn"
"Eva1b",3.5589681471342e-270,1.0493484345357,0.981,0.739,6.39902472854729e-266,"0","Eva1b"
"Tcf21",4.31651494033483e-269,1.2531467543134,0.91,0.442,7.76109386272202e-265,"0","Tcf21"
"Igfbp7",2.18958150764472e-257,0.80441841998342,0.999,0.99,3.9368675507452e-253,"0","Igfbp7"
"Hsd11b1",1.22875579984919e-250,1.15592737835246,0.979,0.593,2.20930292812885e-246,"0","Hsd11b1"
"G0s2",3.33597242831509e-248,1.1922816075462,0.971,0.637,5.99807842611052e-244,"0","G0s2"
"Lrat",9.22876159931168e-243,1.02011213412945,0.949,0.431,1.65933133555624e-238,"0","Lrat"
"Ecm1",1.59289738945638e-242,1.08564852843516,0.99,0.729,2.86402950624257e-238,"0","Ecm1"
"Rnaset2a",2.14541341991908e-242,0.968762538161096,0.952,0.837,3.85745332901451e-238,"0","Rnaset2a"
"Angptl2",1.06053017357691e-240,1.01871094955502,0.9,0.461,1.90683325209129e-236,"0","Angptl2"
"Mustn1",9.51665063017584e-240,1.05715208700272,0.948,0.484,1.71109378330562e-235,"0","Mustn1"
"Itga8",3.64543447909014e-234,1.10935828296701,0.766,0.312,6.55449119340408e-230,"0","Itga8"
"Prelp",3.08156411150174e-233,0.965896691912094,0.984,0.729,5.54065227248012e-229,"0","Prelp"
"Ccdc3",1.36777645417369e-232,0.980727532579043,0.653,0.226,2.4592620646043e-228,"0","Ccdc3"
"Smoc2",2.74299582243561e-232,1.043549501301,0.904,0.472,4.93190648873923e-228,"0","Smoc2"
"Steap4",2.0676683915485e-228,0.921630768848876,0.968,0.553,3.71766776800421e-224,"0","Steap4"
"Ifitm2",1.17978087414324e-223,0.743250545877311,0.997,0.985,2.12124601170954e-219,"0","Ifitm2"
"Colec11",2.11063892472439e-223,0.816593390878497,0.987,0.57,3.79492878665446e-219,"0","Colec11"
"Masp1",2.45224899539485e-222,0.948446422285535,0.945,0.561,4.40914369371993e-218,"0","Masp1"
"Emilin1",4.35236449187518e-222,0.97483980525601,0.961,0.547,7.82555135639157e-218,"0","Emilin1"
"Itm2b",1.50568677554139e-219,0.649114144999134,0.996,0.995,2.70722482242342e-215,"0","Itm2b"
"Sept4",2.58562808164821e-219,0.926477142432208,0.976,0.61,4.64895929080349e-215,"0","Sept4"
"Cebpd",6.29143449939202e-216,1.12674544836727,0.951,0.595,1.13119992299069e-211,"0","Cebpd"
"Raph1",5.96050279633982e-212,0.939738839790105,0.928,0.584,1.0716984027819e-207,"0","Raph1"
"Hand2os1",3.88120476982859e-208,0.928969388237259,0.904,0.497,6.9784061761518e-204,"0","Hand2os1"
"Cst3",8.63349549281268e-207,0.84376178340651,1,0.989,1.55230248960772e-202,"0","Cst3"
"Bmp5",2.01324053303409e-204,0.903666662392937,0.802,0.35,3.6198064783953e-200,"0","Bmp5"
"Ramp2",3.29865074156939e-203,0.959259679629486,0.85,0.45,5.93097403334176e-199,"0","Ramp2"
"Rasgrp2",8.15642848510547e-203,0.859100905465117,0.864,0.419,1.46652584162196e-198,"0","Rasgrp2"
"Ifitm3",5.47517369855306e-202,0.711301103437308,1,0.989,9.8443623099984e-198,"0","Ifitm3"
"Alcam",6.89391288044518e-200,1.12565156359701,0.922,0.769,1.23952553590404e-195,"0","Alcam"
"Kcnj8",1.2627988651731e-199,1.0069561504362,0.744,0.302,2.27051235958124e-195,"0","Kcnj8"
"Tmem204",5.03153333199796e-199,0.886816740938405,0.787,0.366,9.04669693093232e-195,"0","Tmem204"
"Mylk",3.10947771107077e-196,0.895350747130645,0.897,0.537,5.59084092450524e-192,"0","Mylk"
"Wfdc1",1.28698420419695e-195,0.892155000179944,0.816,0.359,2.31399759914611e-191,"0","Wfdc1"
"Id3",1.07450043245683e-189,1.03595781222322,0.974,0.794,1.93195177755738e-185,"0","Id3"
"Frzb",3.18021198292495e-189,0.875321074040177,0.906,0.473,5.71802114529906e-185,"0","Frzb"
"Fgfr2",3.40004896293053e-188,0.950776535825784,0.831,0.518,6.11328803534908e-184,"0","Fgfr2"
"Clec14a",1.72875085393775e-187,0.81660575664089,0.668,0.26,3.10829403538007e-183,"0","Clec14a"
"Col14a1",2.70640207787179e-187,0.811661213083679,0.933,0.486,4.86611093601347e-183,"0","Col14a1"
"Robo2",5.67527900208159e-185,0.848934532012916,0.698,0.29,1.02041516457427e-180,"0","Robo2"
"Il11ra1",4.23274098927725e-182,0.844686731544459,0.91,0.627,7.6104682987205e-178,"0","Il11ra1"
"Cox6c",4.27536737318634e-182,0.502849956539982,0.999,0.99,7.68711053698905e-178,"0","Cox6c"
"Plac8",1.66842356401601e-180,0.869258115795547,0.993,0.655,2.99982556810079e-176,"0","Plac8"
"Olfml3",7.38052688149278e-180,0.840730701692728,0.983,0.586,1.3270187332924e-175,"0","Olfml3"
"Plvap",3.95576001709095e-179,0.77998257610395,0.969,0.571,7.11245651072953e-175,"0","Plvap"
"Adamts2",7.83216105128798e-179,0.855300706757478,0.84,0.452,1.40822255702158e-174,"0","Adamts2"
"Cd302",2.87096673712512e-177,0.820865858670023,0.978,0.731,5.16199819335097e-173,"0","Cd302"
"Lrp1",3.3905322745266e-177,0.866115596632021,0.88,0.545,6.09617702959882e-173,"0","Lrp1"
"Islr",4.98335662005452e-176,0.825915019816309,0.791,0.391,8.96007520285803e-172,"0","Islr"
"Gsn",1.42138682097424e-175,0.556043613449934,0.955,0.61,2.55565350411168e-171,"0","Gsn"
"Pam",2.40756558651966e-172,1.35425287030618,0.905,0.634,4.32880292456236e-168,"0","Pam"
"Fcna",3.21093495429915e-170,0.931107638328629,0.715,0.286,5.77326104782988e-166,"0","Fcna"
"C1qtnf2",4.77716872339348e-168,0.833775619665007,0.759,0.387,8.58934936466148e-164,"0","C1qtnf2"
"Pcolce",6.5026002614485e-165,0.801800381922383,0.989,0.722,1.16916752700844e-160,"0","Pcolce"
"Slc29a1",8.35818141967008e-164,0.800572143390102,0.866,0.636,1.50280101925668e-159,"0","Slc29a1"
"Hgf",5.38591088248387e-163,0.777585477418916,0.76,0.345,9.683867766706e-159,"0","Hgf"
"Foxf1",2.44411360253721e-162,0.772507769292822,0.636,0.266,4.39451625736191e-158,"0","Foxf1"
"Nrxn1",9.54388470505317e-162,0.748693567785716,0.657,0.257,1.71599046996856e-157,"0","Nrxn1"
"Col6a3",1.72208872091157e-161,0.804736756556692,0.869,0.481,3.09631552019901e-157,"0","Col6a3"
"Efemp2",4.62668897631362e-160,0.729844948387901,0.951,0.727,8.31878677941189e-156,"0","Efemp2"
"Adamts5",4.38724749303236e-159,0.930455242423026,0.67,0.308,7.88827099247219e-155,"0","Adamts5"
"Srpx2",2.11674017258615e-157,0.795043273255935,0.73,0.364,3.8058988303099e-153,"0","Srpx2"
"Rarres2",3.48416517287473e-157,0.526794259770747,0.993,0.828,6.26452898082876e-153,"0","Rarres2"
"Abi3bp",3.76823590067409e-156,0.795110006577565,0.782,0.408,6.77528814941201e-152,"0","Abi3bp"
"Arhgdib",2.58126422198313e-155,0.797523966557007,0.87,0.505,4.64111307112566e-151,"0","Arhgdib"
"Tshz2",1.44059271785834e-154,0.795521316807285,0.893,0.67,2.5901857067093e-150,"0","Tshz2"
"Bambi",3.34852905125429e-152,0.844727386476271,0.886,0.618,6.02065523415521e-148,"0","Bambi"
"Sod3",1.47708733450336e-151,0.534912357995702,0.981,0.705,2.65580302743705e-147,"0","Sod3"
"Rbp1",2.38673643267693e-151,0.650113907326939,0.997,0.949,4.29135210595312e-147,"0","Rbp1"
"Slmap",7.70093788757304e-150,0.891074644674531,0.742,0.419,1.38462863218563e-145,"0","Slmap"
"Actn4",8.01919836195837e-148,0.717879886669511,0.925,0.773,1.44185186548011e-143,"0","Actn4"
"Crip2",1.055871512183e-145,0.649214869300166,0.978,0.925,1.89845697890503e-141,"0","Crip2"
"Fam180a",9.39504356341751e-145,0.78444369891613,0.643,0.27,1.68922883270247e-140,"0","Fam180a"
"Dapk2",1.47952668149036e-144,0.752097079271585,0.684,0.347,2.66018897331966e-140,"0","Dapk2"
"Tmem176a",3.71180597341609e-144,0.478196471271403,0.996,0.98,6.67382714020212e-140,"0","Tmem176a"
"Gstm2",3.02284911774652e-142,0.7294199082429,0.897,0.676,5.43508271370825e-138,"0","Gstm2"
"Tmem47",7.15663302344142e-141,0.731168463148968,0.626,0.282,1.28676261761477e-136,"0","Tmem47"
"Ppp1r14a",2.1919667435555e-140,0.644564207993934,0.843,0.459,3.9411562049128e-136,"0","Ppp1r14a"
"Bok",4.71325280861052e-140,0.674675648463928,0.96,0.857,8.47442854988172e-136,"0","Bok"
"Ntn1",1.24078235840513e-139,0.700779977475281,0.609,0.248,2.23092668041242e-135,"0","Ntn1"
"Des",3.77607868107861e-138,0.674681267176433,0.864,0.482,6.78938946857933e-134,"0","Des"
"Hs3st3b1",6.88438385262936e-137,0.686416511617757,0.637,0.268,1.23781221670276e-132,"0","Hs3st3b1"
"Lcn8",1.02530740508736e-136,0.777067113292357,0.326,0.074,1.84350271434707e-132,"0","Lcn8"
"Rhob",8.88109087183453e-135,0.710047880104872,0.954,0.814,1.59682013875585e-130,"0","Rhob"
"Ednra",9.19336788744625e-135,0.720877190233074,0.636,0.287,1.65296754616284e-130,"0","Ednra"
"Aard",1.65158962501755e-134,0.703715584837964,0.625,0.269,2.96955814578155e-130,"0","Aard"
"Zfp36",7.10941289292122e-133,0.786398863549507,0.824,0.552,1.27827243814724e-128,"0","Zfp36"
"Vim",7.86972172033405e-131,0.662083655413257,0.987,0.764,1.41497596531606e-126,"0","Vim"
"Nkd1",1.67076151062589e-130,0.716697017612803,0.746,0.392,3.00402919610536e-126,"0","Nkd1"
